,ranks,experiment,iteration,time_seconds,nodes,percent_cpu_utilization
0,28,singularity,7,12.0,1,100.0
1,28,singularity,6,13.0,1,100.0
2,56,singularity,96,7.0,1,100.0
3,14,singularity,29,22.0,1,100.0
4,56,singularity,476,7.0,1,100.0
5,56,singularity,397,7.0,1,100.0
6,28,singularity,29,13.0,1,100.0
7,28,singularity,12,12.0,1,100.0
8,14,singularity,6,22.0,1,100.0
9,14,singularity,10,22.0,1,100.0
10,28,singularity,13,12.0,1,100.0
11,28,singularity,25,12.0,1,100.0
12,28,singularity,9,12.0,1,100.0
13,14,singularity,32,22.0,1,100.0
14,56,singularity,237,7.0,1,100.0
15,28,singularity,26,12.0,1,100.0
16,14,singularity,13,22.0,1,100.0
17,56,singularity,337,7.0,1,100.0
18,14,singularity,12,22.0,1,100.0
19,56,singularity,111,7.0,1,100.0
20,14,singularity,9,23.0,1,100.0
21,56,singularity,101,7.0,1,100.0
22,56,singularity,224,7.0,1,100.0
23,28,singularity,8,12.0,1,100.0
24,56,singularity,17,8.0,1,100.0
25,28,singularity,24,12.0,1,100.0
26,14,singularity,28,21.0,1,100.0
27,14,singularity,16,22.0,1,100.0
28,28,singularity,26,12.0,1,100.0
29,14,singularity,21,22.0,1,100.0
30,14,singularity,11,22.0,1,100.0
31,56,singularity,391,8.0,1,100.0
32,28,singularity,21,12.0,1,100.0
33,28,singularity,24,12.0,1,100.0
34,28,singularity,31,12.0,1,100.0
35,56,singularity,16,7.0,1,100.0
36,28,singularity,3,12.0,1,100.0
37,14,singularity,19,23.0,1,100.0
38,14,singularity,13,22.0,1,100.0
39,28,singularity,22,12.0,1,100.0
40,14,singularity,20,21.0,1,100.0
41,56,singularity,174,7.0,1,100.0
42,14,singularity,18,22.0,1,100.0
43,14,singularity,24,22.0,1,100.0
44,56,singularity,198,7.0,1,100.0
45,28,singularity,11,12.0,1,100.0
46,14,singularity,30,21.0,1,100.0
47,56,singularity,176,7.0,1,100.0
48,56,singularity,264,7.0,1,100.0
49,56,singularity,5,7.0,1,100.0
50,56,singularity,436,8.0,1,100.0
51,28,singularity,10,12.0,1,100.0
52,56,singularity,290,7.0,1,100.0
53,28,singularity,21,12.0,1,100.0
54,28,singularity,27,12.0,1,100.0
55,28,singularity,24,12.0,1,100.0
56,14,singularity,5,22.0,1,100.0
57,56,singularity,359,7.0,1,100.0
58,28,singularity,26,12.0,1,100.0
59,28,singularity,23,12.0,1,100.0
60,56,singularity,213,7.0,1,100.0
61,14,singularity,31,22.0,1,100.0
62,28,singularity,6,12.0,1,100.0
63,56,singularity,122,8.0,1,100.0
64,14,singularity,13,21.0,1,100.0
65,28,singularity,18,12.0,1,100.0
66,14,singularity,14,22.0,1,100.0
67,14,singularity,31,22.0,1,100.0
68,56,singularity,253,7.0,1,100.0
69,14,singularity,17,21.0,1,100.0
70,56,singularity,69,7.0,1,100.0
71,28,singularity,4,12.0,1,100.0
72,14,singularity,7,22.0,1,100.0
73,56,singularity,257,8.0,1,100.0
74,14,singularity,12,22.0,1,100.0
75,56,singularity,15,7.0,1,100.0
76,56,singularity,324,7.0,1,100.0
77,14,singularity,5,22.0,1,100.0
78,14,singularity,21,21.0,1,100.0
79,14,singularity,12,21.0,1,100.0
80,14,singularity,6,22.0,1,100.0
81,14,singularity,2,22.0,1,100.0
82,14,singularity,9,23.0,1,100.0
83,28,singularity,32,12.0,1,100.0
84,14,singularity,2,22.0,1,100.0
85,56,singularity,66,7.0,1,100.0
86,56,singularity,314,7.0,1,100.0
87,56,singularity,263,7.0,1,100.0
88,56,singularity,73,7.0,1,100.0
89,14,singularity,14,22.0,1,100.0
90,14,singularity,7,22.0,1,100.0
91,14,singularity,4,22.0,1,100.0
92,28,singularity,6,12.0,1,100.0
93,14,singularity,17,23.0,1,100.0
94,14,singularity,15,22.0,1,100.0
95,56,singularity,288,7.0,1,100.0
96,28,singularity,5,12.0,1,100.0
97,14,singularity,1,22.0,1,100.0
98,56,singularity,354,7.0,1,100.0
99,56,singularity,252,7.0,1,100.0
100,14,singularity,13,22.0,1,100.0
101,56,singularity,479,7.0,1,100.0
102,14,singularity,17,22.0,1,100.0
103,56,singularity,59,7.0,1,100.0
104,56,singularity,452,8.0,1,100.0
105,28,singularity,31,12.0,1,100.0
106,14,singularity,30,22.0,1,100.0
107,28,singularity,15,12.0,1,100.0
108,56,singularity,456,7.0,1,100.0
109,14,singularity,24,22.0,1,100.0
110,56,singularity,162,7.0,1,100.0
111,14,singularity,23,22.0,1,100.0
112,14,singularity,30,22.0,1,100.0
113,28,singularity,9,12.0,1,100.0
114,28,singularity,6,12.0,1,100.0
115,56,singularity,425,7.0,1,100.0
116,28,singularity,22,12.0,1,100.0
117,14,singularity,29,23.0,1,100.0
118,14,singularity,21,21.0,1,100.0
119,56,singularity,259,7.0,1,100.0
120,28,singularity,13,13.0,1,100.0
121,56,singularity,153,7.0,1,100.0
122,28,singularity,5,12.0,1,100.0
123,56,singularity,438,7.0,1,100.0
124,14,singularity,5,22.0,1,100.0
125,14,singularity,25,23.0,1,100.0
126,56,singularity,27,7.0,1,100.0
127,56,singularity,419,7.0,1,100.0
128,28,singularity,28,14.0,1,100.0
129,56,singularity,454,7.0,1,100.0
130,14,singularity,27,22.0,1,100.0
131,56,singularity,356,7.0,1,100.0
132,14,singularity,14,23.0,1,100.0
133,56,singularity,271,8.0,1,100.0
134,56,singularity,461,7.0,1,100.0
135,28,singularity,2,12.0,1,100.0
136,56,singularity,392,8.0,1,100.0
137,56,singularity,203,7.0,1,100.0
138,56,singularity,97,7.0,1,100.0
139,14,singularity,4,22.0,1,100.0
